id,location.lat,location.lon,name,building_type,arch_style,age,religion,image link,description,open_hours ,tags
"('way', 39514795)",10.7725301,106.69803652841517,Chợ Bến Thành,marketplace,french,1914,none,https://upload.wikimedia.org/wikipedia/commons/f/f5/Ben_Thanh%2C_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_01.JPG,,,
"('way', 152990635)",10.758108,106.67218157807716,Chợ An Đông,marketplace,modernism,1954,none,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/An_Dong_market.jpg/2560px-An_Dong_market.jpg,,,
"('relation', 2552505)",10.7492965,106.65072796223046,Chợ Bình Tây,marketplace,"east_asia, french",1930,none,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Vn-hcm-cho-binh-tay-27-07-07.JPG/330px-Vn-hcm-cho-binh-tay-27-07-07.JPG,,,
"('way', 39598471)",10.78989975,106.69005125000001,Chợ Tân Định,marketplace,french,1927,none,https://thanhnien.mediacdn.vn/uploaded/vuphuong/2017_02_28/9_GJYA.jpg?width=500&fbclid=IwY2xjawOQAo9leHRuA2FlbQIxMABicmlkETFWSGNjeHE0QnB5R2JLTml1c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHn_35m0K07ZpJlDhi-MDxBd4FuSyF2diMAp2pkl5lqYxr4Q-XTD0XsGpRrAt_aem_LyF9WsBsrE1nkXigRZqy_w,,,
"('way', 292075521)",10.801874649999998,106.69876009417646,Chợ Bà Chiểu,marketplace,modernism,1947,none,https://www.vietnamairlines.com/~/media/SEO-images/2025%20SEO/Thay%20Anh%20Traffic%20Tieng%20Viet/cho%20ba%20chieu/khung-canh-cho-ba-chieu-ban-ngay.jpeg,,,
"('way', 498042948)",10.9398453,106.7652497,Chợ Tân Bình,marketplace,modernism,1960,none,https://mia.vn/media/uploads/blog-du-lich/kinh-nghiem-di-cho-tan-binh-04-1720881148.jpg,,,
"('way', 79345731)",10.7635238,106.70610328026285,Chợ Xóm Chiếu,marketplace,modernism,,none,https://mia.vn/media/uploads/blog-du-lich/cho-xom-chieu-01-1700093635.jpeg,,,
"('way', 499426667)",10.8502385,106.75419735,Chợ Thủ Đức,marketplace,modernism,2003,none,https://upload.wikimedia.org/wikipedia/commons/1/15/Ch%E1%BB%A3_Th%E1%BB%A7_%C4%90%E1%BB%A9c.jpg,,,
"('way', 663397402)",10.78396255,106.68889980443488,Nhà thiếu nhi TPHCM,community_centre,contemporary,1975,none,https://nhathieunhitphcm.com.vn/images/ntntphcm/gioithieu/ntntp_01.jpg,,,
"('relation', 2531662)",10.77570965,106.69789613549067,Tòa án Nhân dân TPHCM,courthouse,"baroque, roccoco",1885,none,"https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhS4Lp_3nCl136J-sAnpMPD61811Z3WMPRITnNziB57yWUPwkSODuoL6yAzHzgr-HqHRnCOgcD9yyM0NhTXD-TUVMMtoyB6-me4SJFGt-3nHWNVkAGSUkii5BxCAWc4Dc2ZT2VX-Om_E1TlsteNA2sxzelRwYsL4CbHr5JgSWKFTyrq-gmdbzSL1mON/s2592/T%C3%B2a_%C3%A1n_Nh%C3%A2n_d%C3%A2n_tp_Ho_Chi_minh,_vietnam_-_panoramio.jpg",,,
"('way', 193092896)",10.786105899999999,106.68887239223955,Viện Pasteur TPHCM,hospital,french,1891,none,https://prod-cdn.pharmacity.io/blog/vien-pasteur-tp-hcm.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUYXZVMJMURHIYJSN%2F20240424%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20240424T035237Z&X-Amz-SignedHeaders=host&X-Amz-Expires=600&X-Amz-Signature=fb131269bdfb17a497669c04a5becd3f8b22ff8d06841934ca77a257b969a817,,,
"('way', 225209455)",10.77866115,106.684936728687,Bệnh viện Mắt TPHCM,hospital,french,1978,none,https://toplist.vn/images/800px/benh-vien-mat-tp-hcm-982746.jpg,,,
"('way', 375544508)",10.7729754,106.66707394464697,Viện Tim Thành phố Hồ Chí Minh,hospital,modernism,1991,none,https://cmi-vietnam.com/wp-content/uploads/2021/06/Entree-de-lextention-de-lInstitut-du-Coeur-Copie.jpg,,,
"('way', 189067543)",10.754120799999999,106.67210278036669,Bệnh viện An Bình,hospital,modernism,2001,none,https://benhvienanbinh.vn/wp-content/uploads/2024/05/BENH-VIEN-2024.jpg,,,
"('way', 262966609)",10.781372600000001,106.69030196537784,Nhà Tang lễ TPHCM (Lê Quý Đôn),mortuary,modernism,,none,https://wikihoavien.vn/wp-content/uploads/2025/03/nha-tang-le-thanh-pho-ho-chi-minh-1.jpg,,,
"('way', 1309894124)",10.71877965,106.60270207429869,Nhà Tang lễ TPHCM,mortuary,"vietnamese, contemporary",2002,none,https://th.bing.com/th/id/R.9e48ce14b4e354e0ab7413ce55ffe91c?rik=iPYS%2b3nXpmkXQg&riu=http%3a%2f%2fnhatanglethanhpho.org.vn%2fImgPro%2fAdmin_26112023162940386.jpg&ehk=6%2bqQlMFeIPs8uYQlJPzChbTjXm7Gqw1QC5XKePFfDxI%3d&risl=&pid=ImgRaw&r=0,,,
,10.754092068007300,10.667034779178000,Nhà tang lễ Bệnh Viện Nguyễn Tri Phương,mortuary,"chinese, modernism",1963,none,https://maitangthanhbinh.com/wp-content/uploads/2025/03/nha-tang-le-8.jpg,,,
"('way', 1086980078)",10.756952649999999,106.67488070241279,Từ đường Phúc Kiến,place_of_worship,chinese,1887,taoist,https://quan5xinchao.vn/wp-content/uploads/2024/09/Tu-duong-Phuoc-Kien.jpg,,,
"('node', 2068659849)",10.7525739,106.6617227,Hội quán Tam Sơn,place_of_worship,chinese,1796,chinese_folk,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxPre8Ijml2-AIJzp-C9jO6OotRGwO4PEGrNifIVtzZRW3kK3kfDkno-7bOOsJ6wo8pMjWipe-YEO2Td24tCHmtyvc-R3P9vX86tDgb_wtIA4u9kvJHPfLAzXQBIVfw9EdKrzHx=s1360-w1360-h1020-rw,,,
"('node', 6315672802)",10.7523593,106.6633235,Hội quán Quỳnh Phủ,place_of_worship,chinese,1824,chinese_folk,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzWtWbSMAetA7kF5OlJCmljn1vIbE_70RunGZDwSRAsn86m8ftxT5uAJWUNMwq24Lntk_Zbja-jYgauMB2MCKE79ge5dahFmy2IXRsbiydWz2PNywWnSqbwv-RbaCre7ak1OnnTVabHE8DS=s1360-w1360-h1020-rw,,,
"('way', 420287578)",10.749372300000001,106.65438745,Hội quán Nghĩa Nhuận,place_of_worship,chinese,1872,taoist,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/H%E1%BB%99i_qu%C3%A1n_Ngh%C4%A9a_Nhu%E1%BA%ADn.jpg/1280px-H%E1%BB%99i_qu%C3%A1n_Ngh%C4%A9a_Nhu%E1%BA%ADn.jpg,,,
"('way', 669863010)",10.754999,106.65886616964661,Hội quán Phước An,place_of_worship,chinese,1865,buddhist,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Phuoc_An_Hoi_Quan_Pagoda_%2810018160114%29.jpg/2560px-Phuoc_An_Hoi_Quan_Pagoda_%2810018160114%29.jpg,,,
"('way', 807297567)",10.7652591,106.69893957443439,Hội quán Quảng Triệu,place_of_worship,chinese,1887,taoist,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxo7whLAf2iTO0dCBw1nMeFzE5iCAOAnS6OzOWTlpkbyx2dhzDO-Pyb6gz9v8QRMEiZDbi51C4ZJn9ogGXxxDsHzs3L2qptFMbhpUDkOp-dKSfXRd8z36M-mM24KY40Drk4RCaDpg=s1360-w1360-h1020-rw,,,
"('way', 1313432468)",10.88861925,106.59542215355,Long Thái Hội Quán - Quan Đế Miếu,place_of_worship,chinese,,chinese_folk,"https://www.google.com/maps/place/%E9%9A%86%E6%B3%B0%E6%9C%83%E9%A4%A8-+%E9%97%9C%E5%B8%9D%E5%BB%9F-+Long+Th%C3%A1i+H%E1%BB%99i+Qu%C3%A1n-+Quan+%C4%90%E1%BA%BF+Mi%E1%BA%BFu/@10.888622,106.5954738,3a,75y,90t/data=!3m8!1e2!3m6!1sCIHM0ogKEICAgICKmLXxJg!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAG0ilSw8yu9X3sfsZzEPgVxWl_JYUcAAP5fHsPDLVmjTKU3RnmvQa8rXxJuh5RrYk4sab40loY8WLC3svwOsQeI_eTYpEkJ4fYvWqZfXCz3tQkp4FX5Yd5iQ4HQnvwe9TEC0kWaXCT1r%3Dw114-h86-k-no!7i4000!8i3000!4m7!3m6!1s0x3174d58f3ecfd455:0xdcf6a3580ab57065!8m2!3d10.888622!4d106.5954738!10e5!16s%2Fg%2F1tftz0yz?entry=ttu&g_ep=EgoyMDI1MTExNy4wIKXMDSoASAFQAw%3D%3D#",,,
"('way', 366664391)",10.75359045,106.66118329809879,Hội quán Tuệ Thành,place_of_worship,chinese,1760,chinese_folk,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Nghia_An_Hoi_Quan_Pagoda_%2810018256906%29.jpg/2560px-Nghia_An_Hoi_Quan_Pagoda_%2810018256906%29.jpg,,,
"('way', 419478162)",10.753189800000001,106.65795205,Hội quán Hà Chương,place_of_worship,chinese,1809,chinese_folk,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/H%E1%BB%99i_qu%C3%A1n_H%C3%A0_Ch%C6%B0%C6%A1ng.jpg/1280px-H%E1%BB%99i_qu%C3%A1n_H%C3%A0_Ch%C6%B0%C6%A1ng.jpg,,,
"('way', 419478163)",10.75354585,106.66213327953938,Hội quán Nghĩa An,place_of_worship,chinese,1820,chinese_folk,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx5x7LgIsPe4f02UFBJwxLtnV3D0cWVPgdNz1gDt8KtaWhzA1rCyACC-Fialsn43spFC_OwXTNl3vD84Hugw19lEDDcOgpamxD3jkAnrJ1xK2rBk07f7w_YEoM_JjWiCr1igvELaQ=w408-h306-k-no,,,
"('way', 666569008)",10.751558450000001,106.65727598821749,Hội quán Nhị Phủ,place_of_worship,chinese,1730,chinese_folk,https://quan5xinchao.vn/wp-content/uploads/2024/09/anh-nhi-phu-1536x1024.jpg,,,
"('way', 1041069083)",10.824834150000001,106.68543745280135,Hội quán Quần Tân,place_of_worship,chinese,1870,chinese_folk,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgdfjBjrVhVdRgw6u1nCcKDCpI-3OSHr4LsMJoj7oOTABtqgtn5ulug-N-ZBReU_o4DoD6FkHs6Z6XvYjG9af8nNO8Fdf4Z09pQGqWFN6szHTqFnLm_i2NotYX40BT7t0h_5xyiE_fjzfiT/s1600/IMG_5591.jpg,,,
"('node', 4813074210)",10.7183837,106.6236992,Hội quán Sùng Chính,place_of_worship,chinese,,chinese_folk,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSze75M4R1tSyc6rfyv1HZnTn07671_KT_IJyzCB_e-wf9BvSFYysoF8XPdlCmd51sfWrDWo9u6tKqjXGyIzwHj4J5_L5S5wEbIujbW0xRQ26J9Mb2x5sXXAw8Ksbawkjg61hr-jGw=s1360-w1360-h1020-rw,,,
"('way', 1353063048)",10.75217375,106.65517539196857,Lệ Châu Hội Quán,place_of_worship,chinese,1892,chinese_folk,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/L%E1%BB%87_Ch%C3%A2u_h%E1%BB%99i_qu%C3%A1n.jpg/1280px-L%E1%BB%87_Ch%C3%A2u_h%E1%BB%99i_qu%C3%A1n.jpg,,,
"('node', 2676925717)",10.7736968,106.6941856,Miếu Năm Bà Ngũ Hành Tao Đàn,place_of_worship,chinese,,chinese_folk,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzOqwPqiCmtR7FJEK2w3wsUe8egNF_IicSb2vr8hAiAQGXd3Ozs-hN96MvJGmkcJcXYd-_D5508OIcmJ5H93yrVabTFlA33dXJAmIHhh6ruEqRh5VrSeXa5IP3ivapgum_gXVgh=s1360-w1360-h1020-rw,,,
"('way', 198123915)",10.784415899999999,106.70504214208285,Đại chủng viện thánh Giuse,institution,french,1866,christian,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Nh%C3%A0_nguy%E1%BB%87n_trong_%C4%90%E1%BA%A1i_ch%E1%BB%A7ng_vi%E1%BB%87n.JPG/1280px-Nh%C3%A0_nguy%E1%BB%87n_trong_%C4%90%E1%BA%A1i_ch%E1%BB%A7ng_vi%E1%BB%87n.JPG,,,
"('node', 4187322590)",10.7556868,106.6815644,Lăng Trương Vĩnh Ký,tomb,"french, east_asia",1886,christian,https://i1-vnexpress.vnecdn.net/2020/06/23/mo-truong-vinh-ky-7-1592921317.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=4Rta_Jwa3ljwyvHk8P2mEA,,,
"('way', 39619627)",10.7570069,106.66739232264311,Nhà thờ Thánh Jeanne d'Arc,place_of_worship,romanesque,1928,christian,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwAwdlhKz_kAdZAKvhyCsqMcQiR-m1MourRFvXX3IrZEYoR2jZC4afDN7N0yZyToQLeyratPApRIODDPdMRAzlbbp980MxcauY4j0jKjG3N_wzrTOIe8tZwE_EljmIXrxfX2Nan=s1360-w1360-h1020-rw,,,
"('way', 39619657)",10.757335000000001,106.6817269105739,Nhà thờ Chợ Quán,place_of_worship,french,1896,christian,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Nh%C3%A0_th%E1%BB%9D_Th%C3%A1nh_T%C3%A2m_Ch%C3%BAa_Gi%C3%AAsu%2C_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.jpg/500px-Nh%C3%A0_th%E1%BB%9D_Th%C3%A1nh_T%C3%A2m_Ch%C3%BAa_Gi%C3%AAsu%2C_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.jpg,,,
"('way', 60118189)",10.78835975,106.69064176486911,Nhà thờ Tân Định,place_of_worship,"romanesque, gothic, renaissance",1876,christian,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/T%C3%A2n_%C4%90%E1%BB%8Bnh_Church_20190922.jpg/960px-T%C3%A2n_%C4%90%E1%BB%8Bnh_Church_20190922.jpg,,,
"('way', 60118190)",10.80315705,106.68494786130157,Nhà thờ Phú Hạnh,place_of_worship,modernism,1975,christian,https://giothanhle.net/wp-content/uploads/2016/10/nha-tho-phu-hanh-2.jpg,,,
"('way', 166344439)",10.7622813,106.69839646791394,Nhà thờ Vĩnh Hội,place_of_worship,"east_asia, french",1875,christian,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9ExMzUbtsOPmFJBRGUiGf3pKpVBXzjQw9CVQ_Gw3ph01UP0zPpOMqa88rSYoeBY2aK32r1jX9aokjYtOMzvvrBEhtuQdrrimpyYlguYuOZ3ySyRtzgwqgmObfrqWyjbyGkLs=s1360-w1360-h1020-rw,,,
"('way', 801950766)",10.779768650000001,106.69904266265823,Nhà thờ Đức Bà Sài Gòn,"place_of_worship, heritage",neo-romanesque,1880,christian,https://upload.wikimedia.org/wikipedia/commons/d/d7/Bas%C3%ADlica_de_Nuestra_Se%C3%B1ora%2C_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_03.JPG,,,
"('node', 9584599327)",10.7498056,106.6737054,Giáo xứ An Bình,place_of_worship,"chinese, modernism",1969,christian,https://giothanhle.net/wp-content/uploads/2023/07/anbinh_1.jpg,,,
"('way', 907280822)",10.768614,106.688957,Giáo xứ Chợ Đũi - Nhà thờ Huyện Sĩ,place_of_worship,gothic,1859,christian,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Nh%C3%A0_th%E1%BB%9D_huy%E1%BB%87n_S%E1%BB%B9_%E1%BB%9F_HCM.jpg/250px-Nh%C3%A0_th%E1%BB%9D_huy%E1%BB%87n_S%E1%BB%B9_%E1%BB%9F_HCM.jpg,,,
"('way', 327969756)",10.78623145,106.7010351206109,Nhà thờ Mạc Ty Nho,place_of_worship,"modernism, french",1961,christian,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPEM9LdigtOt3IycJDqhz3SVA-BSxFDLwl9A&s,,,
"('way', 366664392)",10.7519741,106.6536926941934,Nhà thờ Cha Tam,place_of_worship,"gothic, east_asia",1900,christian,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ph%C6%B0%E1%BB%9Dng_14%2C_Qu%E1%BA%ADn_5%2C_TPHCM%2C_Vietnam_-_panoramio_%287%29.jpg/250px-Ph%C6%B0%E1%BB%9Dng_14%2C_Qu%E1%BA%ADn_5%2C_TPHCM%2C_Vietnam_-_panoramio_%287%29.jpg,,,
"('way', 330305509)",10.77123845,106.66620458529727,Nhà thờ Đồng Tiến,place_of_worship,"modernism, french",1965,christian,https://giothanhle.net/wp-content/uploads/2016/10/nha-tho-dong-tien-15.jpg,,,
"('way', 371278740)",10.7938295,106.6694208945269,Nhà thờ Đa Minh - Ba Chuông,place_of_worship,"east_asia, french",1962,christian,https://cdn.xanhsm.com/2024/11/5fa5d827-nha-tho-da-minh-ba-chuong-2.jpg,,,
"('way', 1042849147)",10.789571299999999,106.70030639146191,Nhà Thờ Phanxicô Đa Kao,place_of_worship,"modernism, french",1973,christian,https://lh3.googleusercontent.com/p/AF1QipMlc6qk3O-rdPEkEH7VmjsmTtgpSfWwn3lvOamV=s1360-w1360-h1020-rw,,,
"('way', 1156119270)",10.779788499999999,106.69071494386465,Tòa Tổng Giám mục Sài Gòn,place_of_worship,french,1960,christian,https://upload.wikimedia.org/wikipedia/vi/thumb/3/31/T%C3%B2a_T%E1%BB%95ng_gi%C3%A1m_m%E1%BB%A5c_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.jpg/2560px-T%C3%B2a_T%E1%BB%95ng_gi%C3%A1m_m%E1%BB%A5c_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.jpg,,,
"('way', 198123915)",10.784415899999999,106.70504214208285,Trung tâm Mục vụ Tổng giáo phận Sài Gòn,place_of_worship,french,,christian,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4G2FNNpdClewG9Yw0QsbkVtu2h5IEsQP2yRdxADT3OClWTMfBiiI71Qolm05xx9hUSeiQ0BgCpva_7UDFN6jsiVYkkObpCrRQkFq3k10y01MsL-K1gs_Pu1YFjFsNftKpoA4=w408-h306-k-no,,,
"('way', 1059566394)",10.7790693,106.68363629592108,Đại học Sài Gòn cơ sở 1,institution,french,,none,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyQmnXuGVdwDFO7ByCWVsNS_9iJ0IKgR5k0I2dIrwgzz_6nCBV1RQEFOj-ZLsucxefhesj_GMwgik00S2aZG2mXqVCiiZWTExJ1JnQmwxZlHgoawKlo0oS2jVtriIyFgSOXiLvK=s1360-w1360-h1020-rw,,,
"('way', 193085693)",10.783285150000001,106.70639157867404,Đại học Sài Gòn cơ sở 2,institution,french,,none,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx5tVVzHxjva_K2InkZaKuK8blvH-3yK8JEzIQOEFCtWk5vV_Gm0rfu86EILxj-JYUpjQ-lKdsmNoR1rOUIAfVIj_QVhWEcDN1m-AcZ62JEw3DrBFm43ZzNKdJoy8zvpaQ6GLPshw=s1360-w1360-h1020-rw,,,
"('node', 5416327328)",10.7877437,106.7054618,Thảo Cầm Viên,zoo,french,1869,none,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxItAo0gmkyb2KD6AE62Z2vLba3KNKBVjIDXGp5IGRwF6OCPZ-2xXhR0S5_CGsJ-jGkDvh9dJALQq4Gystqit_6Qsyyu34JAG_pjj7Le8uZzAnndNKDqv09Dih1ut4EPEsuoHU=s1360-w1360-h1020-rw,,,
"('relation', 17758150)",10.78797185,106.7049562864172,Bảo tàng Lịch sử TPHCM,museum,indochine,1929,none,https://upload.wikimedia.org/wikipedia/commons/5/57/Vietnam_History_Museum_HCMC.JPG,,,
"('way', 804926030)",10.783164750000001,106.7043358398439,Đan viện Cát Minh,place_of_worship,french,1876,christian,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwojzbN8FKGl4m80osAzQKwJ8claWzzjnRtiXao1zwsXucrteNF4PXV3V6Q2rXVHiVhVPPSnT8j3z3LXq8Uu7vWxFMbQwoZLsjlN-zDBOey4ZxkKx8UK750n9E3hqhoAH4FwIY=s1360-w1360-h1020-rw,,,
"('way', 39514793)",10.77995565,106.6999920762309,Bưu điện trung tâm Sài Gòn,commercial,"gothic, renaissance, neo-baroque",1891,none,"
https://upload.wikimedia.org/wikipedia/commons/7/78/Ho_Chi_Minh_City%2C_Central_Post_Office%2C_2020-01_CN-01.jpg",,,
"('way',186275012)",10.783413961954844,106.69893807405496,Tổng Lãnh sự quán Pháp,government,french,2003,none,https://visana.vn/wp-content/uploads/2019/01/T%E1%BB%95ng-L%C3%A3nh-S%E1%BB%B1-Qu%C3%A1n-Ph%C3%A1p-t%E1%BA%A1i-H%E1%BB%93-Ch%C3%AD-Minh.png,,,
