Key,ID,location.lat,location.lon,name,building_type,arch_style,age,religion,image link,description,open_hours ,day_off,refined
way_39514795,"('way', 39514795)",10.7725301,106.69803652841517,Chợ Bến Thành,marketplace,french,1914,none,https://upload.wikimedia.org/wikipedia/commons/f/f5/Ben_Thanh%2C_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_01.JPG,"Chợ Bến Thành tọa lạc tại trung tâm Thành phố Hồ Chí Minh, Việt Nam, thuộc Quận 1. Đây là một trong những công trình kiến ​​trúc cổ xưa nhất còn sót lại của thành phố và là biểu tượng quan trọng của thành phố. Chợ Bến Thành là điểm đến nổi tiếng của nhiều du khách trong và ngoài nước từ khắp nơi trên thế giới.
https://vinpearl.com/vi/cho-ben-thanh-o-dau-kinh-nghiem-di-cho-cho-khach-du-lich",6:00 - 23:00,,
way_152990635,"('way', 152990635)",10.758108,106.67218157807716,Chợ An Đông,marketplace,modernism,1954,none,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/An_Dong_market.jpg/2560px-An_Dong_market.jpg,"Chợ An Đông nhộn nhịp, sôi động là điểm đến lý tưởng để du khách bốn phương ghé đến mua sắm và có cơ hội hiểu thêm về văn hóa địa phương. Nếu bạn chưa biết đến Sài Gòn đi chơi ở đâu thì hãy ghé ngay chợ An Đông để khám phá những điều thú vị.
https://vinwonders.com/vi/wonderpedia/news/cho-an-dong-sai-gon/",6:00 - 18:00,,
relation_2552505,"('relation', 2552505)",10.7492965,106.65072796223046,Chợ Bình Tây,marketplace,"east_asia, french",1930,none,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Vn-hcm-cho-binh-tay-27-07-07.JPG/330px-Vn-hcm-cho-binh-tay-27-07-07.JPG,"Chợ Bình Tây là khu chợ đầu mối cực kỳ nổi tiếng ở thành phố Hồ Chí Minh. Đây là nơi tham quan, mua sắm mang đậm giá trị lịch sử và văn hóa đặc trưng của người kinh doanh Sài Gòn từ bao đời nay.
https://vinpearl.com/vi/luu-ngay-4-bi-kip-di-cho-binh-tay-an-uong-mua-sam-ngon-re-nhat",2:00 - 23:00,,
way_39598471,"('way', 39598471)",10.78989975,106.69005125000001,Chợ Tân Định,marketplace,french,1927,none,https://thanhnien.mediacdn.vn/uploaded/vuphuong/2017_02_28/9_GJYA.jpg?width=500&fbclid=IwY2xjawOQAo9leHRuA2FlbQIxMABicmlkETFWSGNjeHE0QnB5R2JLTml1c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHn_35m0K07ZpJlDhi-MDxBd4FuSyF2diMAp2pkl5lqYxr4Q-XTD0XsGpRrAt_aem_LyF9WsBsrE1nkXigRZqy_w,"Là một trong những khu chợ lâu đời nhất Sài Gòn - Tân Định chắc hẳn đã là địa điểm quá quen thuộc với người dân thành phố mang tên Bác. Chợ Tân Định được xây dựng vào năm 1926 và là khu chợ di tích lịch sử của TP.HCM, từ lâu đây đã là điểm ghé thăm của nhiều người dân địa phương, các bạn trẻ và cả những du khách nước ngoài mong muốn tìm hiểu về văn hóa Việt Nam.
https://www.traveloka.com/vi-vn/explore/destination/du-lich-cho-tan-dinh-acc/253819",5:00 - 23:00,,
way_292075521,"('way', 292075521)",10.801874649999998,106.69876009417646,Chợ Bà Chiểu,marketplace,modernism,1947,none,https://www.vietnamairlines.com/~/media/SEO-images/2025%20SEO/Thay%20Anh%20Traffic%20Tieng%20Viet/cho%20ba%20chieu/khung-canh-cho-ba-chieu-ban-ngay.jpeg,"Chợ Bà Chiểu không chỉ là một trong những khu chợ lâu đời nhất TP.HCM mà còn là điểm mua sắm sầm uất bậc nhất Quận Bình Thạnh. Không khí nhộn nhịp cùng nét văn hóa mua bán truyền thống khiến khu chợ trở thành điểm đến quen thuộc của nhiều người.
https://www.xanhsm.com/news/cho-ba-chieu",5:00 - 23:00,,
way_498042948,"('way', 498042948)",10.9398453,106.7652497,Chợ Tân Bình,marketplace,modernism,1960,none,https://mia.vn/media/uploads/blog-du-lich/kinh-nghiem-di-cho-tan-binh-04-1720881148.jpg,"Được hình thành từ năm 1960, chợ Tân Bình đã trở thành một trong những ngôi chợ quần áo sỉ lâu đời và lớn nhất tại Sài Gòn. Nơi đây không chỉ là điểm đến quen thuộc của các tiểu thương mà còn thu hút hàng nghìn khách tham quan, mua sắm mỗi ngày.
https://www.xanhsm.com/news/cho-tan-binh",6:00 - 18:00,,
way_79345731,"('way', 79345731)",10.7635238,106.70610328026285,Chợ Xóm Chiếu,marketplace,modernism,,none,https://mia.vn/media/uploads/blog-du-lich/cho-xom-chieu-01-1700093635.jpeg,"Chợ Xóm Chiếu (hay còn gọi là chợ 200) là khu chợ lâu đời với không gian ẩm thực đa dạng, từ món ngon truyền thống đến các món ăn vặt thời thượng. Nơi đây không chỉ là điểm mua sắm, ăn uống mà còn là nơi lưu giữ văn hóa, phản ánh nhịp sống sôi động đặc trưng của Sài Gòn.
https://www.xanhsm.com/news/cho-xom-chieu-quan-4",4:00 - 11:00,,
way_499426667,"('way', 499426667)",10.8502385,106.75419735,Chợ Thủ Đức,marketplace,modernism,2003,none,https://upload.wikimedia.org/wikipedia/commons/1/15/Ch%E1%BB%A3_Th%E1%BB%A7_%C4%90%E1%BB%A9c.jpg,"Chợ Thủ Đức hay còn được biết đến là chợ đầu mối nông sản Thủ Đức, là một trong những khu chợ lớn nhất tại TP. Hồ Chí Minh. Với không khí nhộn nhịp và hoạt động 24/24, đây là điểm đến lý tưởng cho những ai muốn mua sắm, buôn bán hoặc trải nghiệm nét đặc trưng của chợ đầu mối.
https://www.xanhsm.com/news/cho-thu-duc",24/7,,
way_663397402,"('way', 663397402)",10.78396255,106.68889980443488,Nhà thiếu nhi TPHCM,cultural_center,contemporary,1975,none,https://nhathieunhitphcm.com.vn/images/ntntphcm/gioithieu/ntntp_01.jpg,"50 năm qua, Nhà Thiếu nhi TP Hồ Chí Minh đã trở thành địa chỉ quen thuộc, gần gũi và thân thương đối với biết bao thế hệ thiếu nhi Thành phố. Không chỉ là nơi vui chơi, học tập, rèn luyện kỹ năng, nơi đây còn là chiếc nôi nuôi dưỡng ước mơ, điểm tựa tinh thần, “ngôi nhà thứ hai” của nhiều thế hệ thiếu nhi trưởng thành và tỏa sáng.
https://baotintuc.vn/van-hoa/nha-thieu-nhi-tp-ho-chi-minh-noi-chap-canh-uoc-mo-cua-bao-the-he-20250529101119676.htm","8:00–11:15
14:00–17:00",tuesday,
relation_2531662,"('relation', 2531662)",10.77570965,106.69789613549067,Tòa án Nhân dân TPHCM,courthouse,"baroque, roccoco",1885,none,"https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhS4Lp_3nCl136J-sAnpMPD61811Z3WMPRITnNziB57yWUPwkSODuoL6yAzHzgr-HqHRnCOgcD9yyM0NhTXD-TUVMMtoyB6-me4SJFGt-3nHWNVkAGSUkii5BxCAWc4Dc2ZT2VX-Om_E1TlsteNA2sxzelRwYsL4CbHr5JgSWKFTyrq-gmdbzSL1mON/s2592/T%C3%B2a_%C3%A1n_Nh%C3%A2n_d%C3%A2n_tp_Ho_Chi_minh,_vietnam_-_panoramio.jpg","Tòa án nhân dân thành phố Hồ Chí Minh (gọi tắt là: Tòa án TPHCM) được thành lập vào tháng 9 năm 1976. Tòa án ra đời sau sự kiện lịch sử 30 tháng 4 năm 1975, chính quyền miền Bắc Việt Nam đã vào tiếp quản toàn bộ hệ thống tòa án tại miền Nam Việt Nam. Sau đó, chính quyền mới đã thành lập Tòa án TPHCM.
https://logiclaw.vn/gioi-thieu-ve-toa-an-nhan-dan-thanh-pho-ho-chi-minh/",7:30 - 17:00,saturday;sunday,
