id,name,location.lat,location.lon,building_type,food_type,image link,image source
"('node', 1198177163)",Nhà Hàng Đồ Ăn Việt Nam Aroma,10.7684684,106.6938884,restaurant,vietnamese,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/b8/ce/7a/huong-vi-t-s-views.jpg?w=2000&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3589224-Reviews-Huong_Viet_Vietnamese_Aroma-Ho_Chi_Minh_City.html#/media/3589224/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 1770193906)",Nhà Hàng Shri Lounge,10.7826304,106.6972822,restaurant,international,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/7d/5d/d5/caption.jpg?w=1400&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1741415-Reviews-Shri_Lifestyle_Dining-Ho_Chi_Minh_City.html#/media/1741415/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 1770305180)",Nhà Hàng Halal Sai Gon,10.7760297,106.7047293,restaurant,asian,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/8c/29/86/khong-gian-m-i-th-t-tuy.jpg?w=1400&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1596125-Reviews-Halal_Saigon-Ho_Chi_Minh_City.html#/media/1596125/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 1770305230)",Nhà Hàng Cung Đình Rex,10.7754972,106.7007063,restaurant,vietnamese,https://www.rexhotelsaigon.com/wp-content/uploads/sites/174/2020/08/Thi%E1%BA%BFt-k%E1%BA%BF-ch%C6%B0a-c%C3%B3-t%C3%AAn6.png,https://www.rexhotelsaigon.com/vi/dining/cung-dinh-hoang-sa-restaurant/
"('node', 1770597595)",Nhà Hàng Tiệc Cưới 108 Nguyễn Du,10.7754764,106.6956779,restaurant,vietnamese,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d0/63/78/khuon-vien.jpg?w=1400&h=-1&s=1,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d5453932-Reviews-Nha_Khach_108_Nguyen_Du-Ho_Chi_Minh_City.html#/media/5453932/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 1770597616)",Nhà Hàng Alibaba,10.7743953,106.7040996,restaurant,international,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/34/c9/20/caption.jpg?w=1400&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d28103711-Reviews-Alibaba_Kitchen_Bar-Ho_Chi_Minh_City.html#/media/28103711/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 1969579887)",Nhà Hàng Bornga,10.7788067,106.7020073,restaurant,korean,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e2/0a/04/photo0jpg.jpg?w=1400&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d13137974-Reviews-Bornga_Original_Korean_Taste-Ho_Chi_Minh_City.html#/media/13137974/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 1969599008)",Quán Phở 2000,10.7718157,106.697747,restaurant,vietnamese,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/4d/90/9f/relax.jpg?w=1800&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1122861-Reviews-PHO_2000-Ho_Chi_Minh_City.html#/media/1122861/?type=ALL_INCLUDING_RESTRICTED&albumid=-183&category=-183
"('node', 1985346231)",Nhà Hàng Ngon,10.7773464,106.6996325,restaurant,vietnamese,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/1e/23/d5/caption.jpg?w=1100&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1577234-Reviews-Ngon_Restaurant-Ho_Chi_Minh_City.html#/media/1577234/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 1985346309)",Phở 24,10.7718553,106.6975823,restaurant,vietnamese,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/7f/f0/3f/pho-24.jpg?w=2000&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3346286-Reviews-Pho_24-Ho_Chi_Minh_City.html#/media/3346286/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 1987339383)",Nhà Hàng Bên Sông,10.7199051,106.7117175,restaurant,vietnamese,https://nhahangbensong.org/wp-content/uploads/2022/11/nha-hang-ben-song.jpg,https://nhahangbensong.org/
"('node', 1997301812)",Nhà Hàng Cham Charm,10.7245881,106.7197193,restaurant,international,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a6/22/f3/cham-charm.jpg?w=2000&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1910245-Reviews-Cham_Charm-Ho_Chi_Minh_City.html#/media/1910245/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 2041380423)",Bún Bò Huế Gia Hội,10.78415,106.6975046,restaurant,vietnamese;hue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzrHWAFMonGSZF9J1kRMJ5_f27K-xc4niiet6UvijKWbwdJTXPO0mcqPRb5Hc9GH90YNCoh7eBuGGaXx8i0F3aJcrAnq_czxKx7cAMjWOWy00a6HZpO5nJewpTlmJlovrvdWUR0=s1360-w1360-h1020-rw,x
"('node', 2126941304)",5KU Station,10.7794464,106.7042294,restaurant,grill,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/e6/c5/82/dine.jpg?w=2000&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d4227858-Reviews-5ku_Station-Ho_Chi_Minh_City.html#/media/4227858/?type=ALL_INCLUDING_RESTRICTED&albumid=-183&category=-183
"('node', 2138695625)",Nhà Hàng El Gaucho,10.7780321,106.7036328,restaurant,argentinian,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/e5/83/7c/el-gaucho-argentinian.jpg?w=1200&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d6650475-Reviews-El_Gaucho_Hai_Ba_Trung-Ho_Chi_Minh_City.html#/media/6650475/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 2138695626)",Nhà Hàng Nhật Annz,10.7781923,106.7039909,restaurant,japanese,https://www.annz.com.vn/uploads/source/ve-chung-toi/35857918431264004852.jpg,https://www.annz.com.vn/vi/ve-chung-toi
"('node', 2139900977)",Nhà Hàng Beirut,10.7780733,106.7039174,restaurant,lebanese,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/24/63/14/beirut-saigon-authentic.jpg?w=1400&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2629212-Reviews-Beirut_Mediterranean_Kitchen_Lounge-Ho_Chi_Minh_City.html#/media/2629212/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 2158685402)",Nhà Hàng Quảng Đông San Fu Lou,10.7985189,106.6874636,restaurant,chinese,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/91/80/93/getlstd-property-photo.jpg?w=2000&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7082831-Reviews-San_Fu_Lou_Cantonese_Kitchen_Ab_Tower-Ho_Chi_Minh_City.html#/media/7082831/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 2267874378)",Ganh Hao I,10.3593757,107.0601368,restaurant,local,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/e7/6c/6f/good-and-cheap-seafood.jpg?w=2000&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g303946-d1507122-Reviews-Ganh_Hao-Vung_Tau_Ba_Ria_Vung_Tau_Province.html#/media/1507122/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 2276291867)",Nhà Hàng Ciao Bella,10.7762605,106.7049669,restaurant,italian_pizza,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ea/bc/c8/ben-trong-nha-hang-ciao.jpg?w=2000&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2351312-Reviews-Ciao_Bella_District_1-Ho_Chi_Minh_City.html#/media/2351312/?type=ALL_INCLUDING_RESTRICTED&albumid=-183&category=-183
"('node', 2286005140)",Nhà Hàng Skewers,10.7790115,106.7047525,restaurant,mediterranean,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/9b/44/56/first-floor-terrace.jpg?w=1400&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1122894-Reviews-Skewers-Ho_Chi_Minh_City.html#/media/1122894/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 2286005151)",Nhà Hàng Som Tum Thai,10.7792532,106.7038786,restaurant,thai,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/42/79/cc/getlstd-property-photo.jpg?w=1000&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d18970750-Reviews-Som_Tum_Thai_Saigon_Centre-Ho_Chi_Minh_City.html#/media/18970750/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
"('node', 2286005155)",Nhà Hàng Namo,10.777874,106.7037686,restaurant,italian,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/91/e5/00/namo-modern-italian.jpg?w=1400&h=-1&s=1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d32840550-Reviews-Namo_Modern_Italian-Ho_Chi_Minh_City.html#/media/32840550/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
